,Producto,Repeticiones,%_Aparicion_dataset
63,nutmeg,80,0.0013004746732557383
64,mushrooms,79,0.0012842187398400416
65,dried seaweed,78,0.001267962806424345
66,fresh okra,76,0.0012354509395929513
67,live oysters,75,0.0012191950061772546
68,chilled swordfish (xiphias gladius),74,0.001202939072761558
69,frozen salted chicken breasts,74,0.001202939072761558
70,tea,72,0.0011704272059301646
71,chilled smoked salmon,71,0.0011541712725144679
72,frozen shrimps (penaeus vannamei),71,0.0011541712725144679
73,peanuts with shell,70,0.001137915339098771
74,rice noodles,70,0.001137915339098771
75,blanched groundnuts,70,0.001137915339098771
76,figs - dried,69,0.0011216594056830743
77,raw pistachios in shell,69,0.0011216594056830743
78,soft drink,69,0.0011216594056830743
79,grapes,68,0.0011054034722673776
80,apples,68,0.0011054034722673776
81,pomegranates,67,0.0010891475388516809
82,chilli peppers,66,0.0010728916054359842
83,olive- residue oil,66,0.0010728916054359842
84,pine nuts,66,0.0010728916054359842
85,organic sesame seeds,65,0.0010566356720202875
86,lemons,65,0.0010566356720202875
87,frozen salted chicken breast fillets,65,0.0010566356720202875
88,frozen poultry meat preparation,65,0.0010566356720202875
89,shelled peanuts,65,0.0010566356720202875
90,paprika powder,64,0.0010403797386045906
91,frozen swordfish,64,0.0010403797386045906
92,frozen boneless beef,62,0.0010078678717731972
93,yard long beans,61,0.0009916119383575005
94,dried raisins,60,0.0009753560049418037
95,rice vermicelli,60,0.0009753560049418037
96,roasted pistachios,59,0.000959100071526107
97,pears,59,0.000959100071526107
98,groundnuts for bird feed,59,0.000959100071526107
99,fresh mint,59,0.000959100071526107
100,raw milk cheese,58,0.0009428441381104103
101,dried beans,58,0.0009428441381104103
102,dog chew,57,0.0009265882046947135
103,tomatoes,57,0.0009265882046947135
104,frozen beef,56,0.0009103322712790169
105,roasted and salted pistachios,56,0.0009103322712790169
106,almond kernels,55,0.0008940763378633202
107,rapeseed cake,55,0.0008940763378633202
108,oysters,55,0.0008940763378633202
109,chilled chicken meat,54,0.0008778204044476234
110,spice mixture,54,0.0008778204044476234
111,kitchen utensils,54,0.0008778204044476234
112,maize,53,0.0008615644710319267
113,swordfish (xiphias gladius),53,0.0008615644710319267
114,pistachio with shell,52,0.0008453085376162299
115,linseed,52,0.0008453085376162299
116,pickled turnips,52,0.0008453085376162299
117,aubergines,52,0.0008453085376162299
118,roasted and salted pistachio nuts,50,0.0008127966707848365
119,biscuits,50,0.0008127966707848365
120,long grain rice,50,0.0008127966707848365
121,sunflower seeds,50,0.0008127966707848365
122,salami,49,0.0007965407373691397
123,corned beef,49,0.0007965407373691397
124,strawberries,49,0.0007965407373691397
125,mussels,49,0.0007965407373691397
126,raw pistachios,49,0.0007965407373691397
127,shelled pistachios,48,0.000780284803953443
128,frozen octopus,48,0.000780284803953443
129,sultanas,47,0.0007640288705377463
130,carrots - fresh,47,0.0007640288705377463
131,peanuts without shell,46,0.0007477729371220495
132,ground nutmeg,46,0.0007477729371220495
133,pet food,46,0.0007477729371220495
134,live oysters (crassostrea gigas),45,0.0007315170037063528
135,whitish sesame seeds,45,0.0007315170037063528
136,table grapes,45,0.0007315170037063528
137,shrimps - frozen,45,0.0007315170037063528
138,roasted pistachio nuts,44,0.0007152610702906561
139,crushed chilli,44,0.0007152610702906561
140,groundnut kernels for birdfeed,44,0.0007152610702906561
141,chilled swordfish loins (xiphias gladius),44,0.0007152610702906561
142,sunflower meal,44,0.0007152610702906561
143,fishmeal,43,0.0006990051368749593
144,chilled chicken breast fillets,43,0.0006990051368749593
145,frozen chicken breast fillets,42,0.0006827492034592626
146,noodles,42,0.0006827492034592626
147,lettuce,42,0.0006827492034592626
148,dried algae,42,0.0006827492034592626
149,frozen prawns,42,0.0006827492034592626
150,chilled swordfish,42,0.0006827492034592626
151,swordfish,41,0.000666493270043566
152,poultry meal,41,0.000666493270043566
153,rape seed meal,41,0.000666493270043566
154,chilled fish,41,0.000666493270043566
155,pistachios with shell,41,0.000666493270043566
156,fresh pears,41,0.000666493270043566
157,groundnuts with shell,40,0.0006502373366278691
158,green beans,40,0.0006502373366278691
159,shelled hazelnuts,40,0.0006502373366278691
160,frozen chicken fillets,39,0.0006339814032121725
161,cucumbers,39,0.0006339814032121725
162,frozen raspberries,39,0.0006339814032121725
163,papaya,38,0.0006177254697964757
164,instant noodles,38,0.0006177254697964757
165,salmon - smoked,37,0.000601469536380779
166,roasted hazelnut kernels,37,0.000601469536380779
167,chilled horse meat,37,0.000601469536380779
168,frozen chicken,37,0.000601469536380779
169,chilled chicken fillets,37,0.000601469536380779
170,chilled hake (merluccius merluccius),36,0.0005852136029650823
171,frozen blue shark (prionace glauca),36,0.0005852136029650823
172,sausages,36,0.0005852136029650823
173,frozen chicken meat,36,0.0005852136029650823
174,roasted chickpeas,36,0.0005852136029650823
175,shrimps - black tiger - frozen (penaeus monodon),36,0.0005852136029650823
176,slimming coffee,36,0.0005852136029650823
177,black tea,36,0.0005852136029650823
178,chilled chicken breasts,35,0.0005689576695493855
179,spice mix,35,0.0005689576695493855
180,processed animal proteins,35,0.0005689576695493855
181,brown linseed,35,0.0005689576695493855
182,frozen squid,35,0.0005689576695493855
183,frozen pangasius fillets,35,0.0005689576695493855
184,fish feed,34,0.0005527017361336888
185,paan leaves (betel),34,0.0005527017361336888
186,dates,34,0.0005527017361336888
187,blanched peanut kernels,34,0.0005527017361336888
188,apricot kernels,34,0.0005527017361336888
