,Pais,Repeticiones,%_Aparicion_dataset
73,South Africa,373,0.00606346316405488
69,Sri Lanka,345,0.0056082970284153716
21,unknown origin,343,0.005575785161583978
65,Malaysia,338,0.005494505494505495
81,Tunisia,335,0.005445737694258404
125,Australia,334,0.005429481760842707
53,Serbia,322,0.005234410559854347
94,United Arab Emirates,320,0.005201898693022953
64,Singapore,319,0.005185642759607256
123,Japan,314,0.005104363092528773
98,Senegal,313,0.005088107159113077
55,Peru,303,0.004925547824956109
60,Philippines,300,0.0048767800247090185
79,South Korea,287,0.004665452890304961
83,Taiwan,278,0.004519149489563691
172,Sudan,274,0.004454125755900904
89,New Zealand,258,0.004194030821249756
80,Israel,255,0.004145263021002666
77,Lebanon,253,0.0041127511541712725
57,Andorra,243,0.003950191820014305
168,Dominican Republic,240,0.003901424019767215
86,Ecuador,230,0.0037388646856102476
92,Bosnia and Herzegovina,197,0.0032024188828922557
72,Belarus,188,0.0030561154821509852
130,Syria,170,0.002763508680668444
33,Georgia,164,0.002665973080174264
87,Namibia,163,0.002649717146758567
118,Mexico,161,0.0026172052799271735
147,Moldova,158,0.0025684374796800832
167,Uruguay,155,0.002519669679432993
103,Albania,152,0.0024709018791859026
110,Mauritania,149,0.002422134078938813
91,Côte d'Ivoire,144,0.002340854411860329
82,Republic of North Macedonia,142,0.0023083425450289357
162,Uzbekistan,142,0.0023083425450289357
113,Kenya,135,0.0021945510111190582
102,Colombia,130,0.002113271344040575
63,San Marino,128,0.002080759477209181
8,Uganda,119,0.0019344560764679108
115,Azerbaijan,113,0.0018369204759737304
117,Mauritius,106,0.0017231289420638533
120,Gibraltar,104,0.0016906170752324597
107,Panama,101,0.0016418492749853697
84,Gambia,100,0.001625593341569673
106,Ethiopia,99,0.0016093374081539763
61,Monaco,99,0.0016093374081539763
124,Jordan,93,0.001511801807659796
93,Saudi Arabia,93,0.001511801807659796
141,Algeria,91,0.0014792899408284023
122,Jersey,91,0.0014792899408284023
112,Faeroe Islands,79,0.0012842187398400416
76,Bolivia,79,0.0012842187398400416
145,Seychelles,76,0.0012354509395929513
151,Mozambique,75,0.0012191950061772546
54,Madagascar,72,0.0011704272059301646
111,Greenland,70,0.001137915339098771
193,Nicaragua,68,0.0011054034722673776
121,Guernsey,67,0.0010891475388516809
157,Cambodia,66,0.0010728916054359842
75,Paraguay,63,0.001024123805188894
148,Costa Rica,63,0.001024123805188894
37,Qatar,61,0.0009916119383575005
52,Montenegro,59,0.000959100071526107
116,Kazakhstan,57,0.0009265882046947135
153,Afghanistan,56,0.0009103322712790169
105,Kosovo,54,0.0008778204044476234
150,Laos,53,0.0008615644710319267
67,Gabon,52,0.0008453085376162299
66,Cameroon,51,0.0008290526042005332
144,Togo,50,0.0008127966707848365
127,Suriname,50,0.0008127966707848365
131,Bahrain,50,0.0008127966707848365
95,Democratic Republic of the Congo,50,0.0008127966707848365
48,Kuwait,48,0.000780284803953443
78,Angola,48,0.000780284803953443
191,Tanzania,47,0.0007640288705377463
114,Oman,46,0.0007477729371220495
97,Guinea,44,0.0007152610702906561
138,Benin,43,0.0006990051368749593
166,Falkland Islands,41,0.000666493270043566
155,Venezuela,41,0.000666493270043566
